2025-09-16 15:19:33,859 [ 1] INFO  Unity: DataManager > DataManager()
2025-09-16 15:19:41,090 [ 1] INFO  Unity: 用户名 :123 密码:123
2025-09-16 15:19:41,091 [ 1] INFO  Unity: 连接成功
2025-09-16 15:19:41,093 [ 1] INFO  Unity: 连接的IP地址为: 127.0.0.1:8000
2025-09-16 15:19:41,096 [ 1] INFO  UserService: LoadingMesager::OnGameServerConnect :0 reason:Success
2025-09-16 15:19:41,200 [ 1] INFO  Unity: 收到登录响应
2025-09-16 15:19:41,201 [ 1] INFO  Unity: 登录成功
2025-09-16 15:19:41,401 [ 1] INFO  Unity: 当前角色数量为2
2025-09-16 15:19:42,405 [ 1] INFO  Unity: 发出进入游戏的响应
2025-09-16 15:19:42,438 [ 1] INFO  Unity: 角色进入游戏:Success
2025-09-16 15:19:42,440 [ 1] INFO  Unity: ItemManager初始化道具:[ID:1,Count:20]
2025-09-16 15:19:42,442 [ 1] INFO  Unity: ItemManager初始化道具:[ID:2,Count:20]
2025-09-16 15:19:42,454 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:42,455 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:42,457 [ 1] INFO  Unity: 进入了地图:1,当前角色数量:2
2025-09-16 15:19:42,459 [ 1] INFO  Unity: 加入角色姓名:Alice,地图:1
2025-09-16 15:19:42,461 [ 1] INFO  Unity: 加入角色姓名:A,地图:1
2025-09-16 15:19:42,461 [ 1] INFO  Unity: 场景不匹配：当前场景0, 目标场景1, 开始切换
2025-09-16 15:19:42,463 [ 1] INFO  Unity: 进入的地图是: MainCity
2025-09-16 15:19:42,464 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:43,571 [ 1] INFO  Unity: Set Channel:Local
2025-09-16 15:19:48,453 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:48,454 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:48,561 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:48,561 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:48,698 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:48,698 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:48,778 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:48,779 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:51,423 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
